,country_of_origin,variety,aroma,aftertaste,acidity,body,balance,moisture,specialty
619,Other,Other,7.67,7.33,7.67,7.5,7.5,0.12,Yes
620,Taiwan,Typica,7.67,7.5,7.5,7.5,7.5,0.11,Yes
621,Other,Caturra,7.42,7.5,7.67,7.58,7.5,0.11,Yes
622,Colombia,Caturra,7.75,7.67,7.25,7.58,7.42,0.11,Yes
624,Guatemala,Caturra,7.67,7.17,7.67,7.5,7.5,0.11,Yes
626,Mexico,Other,7.58,7.42,7.58,7.42,7.5,0.11,Yes
627,Mexico,Typica,7.5,7.58,7.58,7.42,7.42,0.12,Yes
630,Mexico,Other,7.75,7.25,7.75,7.67,7.58,0.0,Yes
633,Guatemala,Bourbon,7.5,7.42,7.75,7.5,7.5,0.1,Yes
634,Taiwan,Typica,7.67,7.5,7.42,7.58,7.5,0.11,Yes
638,Other,Typica,7.83,7.42,7.33,7.42,7.5,0.13,Yes
640,Other,Caturra,7.42,7.58,7.42,7.58,7.5,0.12,Yes
641,"Tanzania, United Republic Of",Other,7.75,7.33,7.5,7.58,7.5,0.12,Yes
642,Other,Other,7.83,7.42,7.58,7.42,7.42,0.12,Yes
643,Costa Rica,Catuai,7.67,7.5,7.67,7.0,7.75,0.11,Yes
646,Colombia,Caturra,7.75,7.33,7.42,7.5,7.83,0.11,Yes
647,Colombia,Caturra,7.75,7.75,7.25,7.33,7.58,0.11,Yes
648,Colombia,Caturra,7.58,7.42,7.58,7.67,7.42,0.11,Yes
649,Mexico,Typica,7.5,7.5,7.5,7.42,7.5,0.1,Yes
650,Mexico,Typica,7.67,7.58,7.75,7.67,6.83,0.12,Yes
651,Colombia,Caturra,7.33,7.58,7.42,7.67,7.5,0.11,Yes
652,Brazil,Other,7.58,7.33,7.75,7.5,7.5,0.0,Yes
653,Brazil,Bourbon,7.5,7.5,7.5,7.58,7.5,0.11,Yes
654,Other,Other,7.83,7.25,7.5,7.42,7.33,0.11,Yes
655,Honduras,Caturra,7.58,7.33,7.5,7.5,7.5,0.1,Yes
656,Guatemala,Bourbon,7.5,7.33,7.5,7.67,7.5,0.1,Yes
658,Other,Caturra,7.33,7.5,7.5,7.67,7.5,0.11,Yes
659,"Tanzania, United Republic Of",Other,7.67,7.33,7.58,7.5,7.5,0.12,Yes
661,Mexico,Other,7.42,7.5,7.67,7.25,7.5,0.0,Yes
662,Brazil,Yellow Bourbon,7.42,7.67,7.33,7.42,7.67,0.11,Yes
663,Guatemala,Bourbon,7.83,7.33,7.67,7.42,7.5,0.12,Yes
664,Colombia,Caturra,7.5,7.42,7.42,7.58,7.58,0.11,Yes
665,Guatemala,Bourbon,7.83,7.17,7.33,7.5,7.67,0.11,Yes
666,Mexico,Typica,7.5,7.5,7.5,7.42,7.42,0.13,Yes
667,Mexico,Typica,7.67,7.33,7.67,7.5,7.33,0.12,Yes
668,Mexico,Typica,7.92,7.33,7.58,7.25,7.42,0.11,Yes
670,Brazil,Bourbon,7.67,7.33,7.67,7.5,7.5,0.0,Yes
671,Colombia,Caturra,7.67,7.33,7.5,7.25,7.67,0.11,Yes
674,Honduras,Other,7.42,7.17,7.58,7.58,7.5,0.12,Yes
675,Guatemala,Bourbon,7.58,7.33,7.75,7.33,7.5,0.1,Yes
676,Guatemala,Bourbon,7.67,7.25,7.67,7.42,7.33,0.12,Yes
677,Guatemala,Bourbon,7.58,7.25,7.67,7.5,7.5,0.12,Yes
679,Colombia,Caturra,5.08,7.83,7.75,7.83,8.08,0.11,Yes
680,Other,Other,7.67,7.42,7.5,7.42,7.42,0.1,Yes
682,"Tanzania, United Republic Of",Other,7.67,7.42,7.42,7.67,7.42,0.13,Yes
683,Brazil,Yellow Bourbon,7.17,7.33,7.5,7.75,7.42,0.0,Yes
684,Guatemala,Caturra,7.5,7.5,7.67,7.42,7.5,0.1,Yes
685,Mexico,Typica,7.42,7.42,7.58,7.42,7.5,0.11,Yes
686,Brazil,Catuai,7.58,7.33,7.5,7.5,7.42,0.12,Yes
688,Brazil,Yellow Bourbon,7.25,7.25,7.5,7.42,7.5,0.0,Yes
689,Mexico,Bourbon,7.5,7.5,7.92,7.42,7.67,0.12,Yes
691,Colombia,Caturra,7.67,7.33,7.5,7.58,7.5,0.11,Yes
692,Mexico,Typica,7.5,7.42,7.67,7.42,7.58,0.12,Yes
693,Mexico,Typica,7.42,7.5,7.42,7.58,7.5,0.13,Yes
694,Mexico,Typica,7.42,7.33,7.58,7.5,7.5,0.14,Yes
695,Mexico,Caturra,7.75,7.25,7.58,7.58,7.33,0.13,Yes
696,Mexico,Typica,7.5,7.33,7.5,7.5,7.5,0.11,Yes
697,Mexico,Other,7.58,7.17,7.5,7.5,7.5,0.14,Yes
698,Mexico,Caturra,7.58,7.33,7.58,7.5,7.5,0.11,Yes
699,Mexico,Bourbon,7.67,7.33,7.42,7.58,7.33,0.13,Yes
700,Mexico,Typica,7.83,7.42,7.67,7.17,7.33,0.12,Yes
701,Colombia,Caturra,7.67,7.25,7.42,7.5,7.67,0.0,Yes
703,Colombia,Caturra,7.33,7.17,7.58,7.42,7.58,0.0,Yes
705,Honduras,Caturra,7.5,7.33,7.5,7.42,7.42,0.1,Yes
706,Brazil,Catuai,7.33,7.5,7.33,7.5,7.5,0.11,Yes
708,Brazil,Bourbon,7.5,7.42,7.5,7.42,7.5,0.11,Yes
709,Costa Rica,Caturra,7.75,7.25,7.25,7.42,7.67,0.1,Yes
710,Costa Rica,Catuai,7.75,7.5,7.5,7.33,7.58,0.0,Yes
711,Other,Other,7.5,7.42,7.5,7.42,7.42,0.12,Yes
712,Brazil,Bourbon,8.25,7.25,8.33,8.17,8.08,0.07,Yes
714,Guatemala,Bourbon,7.5,7.17,7.83,7.5,7.5,0.1,Yes
715,Other,Other,7.33,7.42,7.58,7.33,7.5,0.12,Yes
716,Brazil,Bourbon,7.75,7.67,8.08,8.08,8.0,0.11,Yes
717,Guatemala,Other,7.58,7.5,7.58,7.75,7.5,0.12,Yes
719,Colombia,Caturra,7.42,7.5,7.17,7.08,8.33,0.1,Yes
720,Taiwan,Typica,7.5,7.5,7.5,7.5,7.5,0.11,Yes
721,Taiwan,Typica,7.5,7.5,7.5,7.5,7.5,0.11,Yes
722,Guatemala,Bourbon,7.5,7.58,7.5,7.5,7.58,0.12,Yes
723,Colombia,Caturra,7.5,7.5,7.5,7.5,7.58,0.0,Yes
724,Mexico,Typica,7.67,7.42,7.5,7.42,7.42,0.12,Yes
726,Guatemala,Bourbon,7.67,7.33,7.67,7.5,7.33,0.11,Yes
727,Mexico,Typica,7.58,7.58,7.33,7.0,7.58,0.15,Yes
728,Mexico,Bourbon,7.67,7.5,7.58,7.5,7.5,0.13,Yes
729,Guatemala,Bourbon,7.5,7.33,7.5,7.33,7.5,0.1,Yes
730,Brazil,Other,7.58,7.42,7.5,7.5,7.42,0.12,Yes
731,Mexico,Typica,8.0,7.33,7.33,7.08,7.67,0.11,Yes
732,Brazil,Other,7.58,7.25,7.58,7.42,7.5,0.11,Yes
733,Colombia,Caturra,7.83,7.33,7.25,7.58,7.42,0.0,Yes
734,Brazil,Catuai,7.58,7.25,7.42,7.67,7.33,0.09,Yes
736,Guatemala,Other,7.67,7.25,7.67,7.42,7.42,0.11,Yes
737,Brazil,Yellow Bourbon,7.42,7.5,7.08,7.5,7.42,0.0,Yes
738,Other,Bourbon,7.58,7.5,7.67,7.83,8.42,0.12,Yes
739,Honduras,Catuai,7.58,7.42,7.58,7.42,7.42,0.11,Yes
740,Other,Other,7.58,7.33,7.42,7.58,7.5,0.13,Yes
741,Brazil,Bourbon,7.75,7.42,7.42,7.33,7.33,0.11,Yes
742,Taiwan,Typica,7.5,7.5,7.5,7.5,7.5,0.11,Yes
743,Mexico,Other,7.58,7.42,7.42,7.42,7.42,0.12,Yes
745,Mexico,Bourbon,7.58,7.5,7.17,7.42,7.42,0.16,Yes
746,Guatemala,Bourbon,7.5,7.33,7.58,7.67,7.33,0.11,Yes
747,Mexico,Bourbon,7.5,7.42,7.67,7.33,7.42,0.13,Yes
748,Mexico,Typica,7.67,7.33,7.5,7.42,7.42,0.12,Yes
750,Mexico,Typica,7.33,7.42,7.67,7.33,7.5,0.11,Yes
751,Mexico,Typica,7.42,7.42,7.58,7.42,7.5,0.1,Yes
752,Colombia,Caturra,7.5,7.67,7.33,7.58,7.33,0.12,Yes
753,Colombia,Caturra,7.67,7.33,7.33,7.5,7.5,0.11,Yes
756,Brazil,Bourbon,7.42,7.5,7.42,7.42,7.5,0.11,Yes
757,Honduras,Caturra,7.5,7.17,7.42,7.5,7.5,0.11,Yes
759,"Tanzania, United Republic Of",Bourbon,7.58,7.42,7.33,7.5,7.42,0.13,Yes
760,"Tanzania, United Republic Of",Other,7.42,7.42,7.5,7.5,7.33,0.12,Yes
761,Brazil,Yellow Bourbon,6.92,7.42,7.33,7.83,7.5,0.0,Yes
763,Honduras,Catuai,7.67,7.25,7.42,7.58,7.42,0.11,Yes
764,Guatemala,Bourbon,7.42,7.5,7.5,7.42,7.5,0.09,Yes
766,"Tanzania, United Republic Of",Other,7.75,7.42,7.58,7.33,7.42,0.12,Yes
767,Mexico,Other,7.42,7.17,7.42,7.33,8.17,0.12,Yes
768,Mexico,Other,7.5,7.33,7.42,7.5,7.42,0.1,Yes
769,Taiwan,Typica,7.5,7.5,7.5,7.5,7.5,0.11,Yes
770,Taiwan,Typica,7.67,7.5,7.17,7.17,7.58,0.0,Yes
771,Colombia,Caturra,7.33,7.25,7.58,7.75,7.5,0.0,Yes
772,Mexico,Typica,7.5,7.0,7.5,7.33,7.5,0.15,Yes
773,Guatemala,Caturra,7.25,7.0,7.75,8.17,7.75,0.12,Yes
774,Mexico,Typica,7.5,7.25,7.5,7.5,7.33,0.12,Yes
775,Mexico,Typica,7.0,7.5,7.5,7.42,7.5,0.1,Yes
777,Other,Bourbon,7.5,7.42,7.42,7.5,7.42,0.15,Yes
779,Brazil,Bourbon,7.42,7.42,7.5,7.42,7.25,0.11,Yes
780,Brazil,Yellow Bourbon,7.25,7.58,7.58,7.25,7.92,0.0,Yes
781,Costa Rica,Caturra,7.75,7.42,7.25,7.17,7.42,0.0,Yes
782,"Tanzania, United Republic Of",Bourbon,7.42,7.42,7.42,7.5,7.58,0.12,Yes
783,"Tanzania, United Republic Of",Other,7.42,7.5,7.33,7.33,7.5,0.12,Yes
785,Costa Rica,Caturra,7.58,7.33,7.33,7.5,7.67,0.11,Yes
787,Mexico,Typica,7.42,7.5,7.33,7.42,7.42,0.13,Yes
788,Mexico,Typica,7.5,7.42,7.5,7.25,7.5,0.13,Yes
789,Mexico,Typica,7.67,7.25,7.58,7.42,7.33,0.11,Yes
790,Other,Other,7.67,7.17,7.08,7.67,7.08,0.12,Yes
791,Mexico,Typica,7.58,7.25,7.75,7.33,7.42,0.11,Yes
794,Honduras,Caturra,7.5,7.17,7.5,7.5,7.42,0.12,Yes
795,Honduras,Caturra,7.5,7.25,7.33,7.42,7.5,0.1,Yes
796,Brazil,Bourbon,7.5,7.42,7.5,7.33,7.42,0.11,Yes
797,"Tanzania, United Republic Of",Other,7.67,7.33,7.42,7.42,7.42,0.13,Yes
798,Other,Other,7.42,7.25,7.33,7.5,7.5,0.12,Yes
799,"Tanzania, United Republic Of",Other,7.42,7.33,7.58,7.33,7.42,0.12,Yes
800,Other,Other,7.5,7.33,7.58,7.33,7.5,0.13,Yes
801,Taiwan,Typica,7.33,7.17,7.42,7.5,7.33,0.09,Yes
803,Costa Rica,Catuai,7.5,7.33,7.33,7.75,7.5,0.1,Yes
804,Honduras,Caturra,7.33,7.33,7.5,7.5,7.83,0.11,Yes
805,Colombia,Caturra,7.33,7.58,7.5,7.5,7.58,0.11,Yes
806,Taiwan,Typica,7.42,7.33,7.42,8.0,7.5,0.12,Yes
807,Brazil,Other,7.33,7.42,7.17,7.33,7.42,0.11,Yes
808,Mexico,Typica,7.67,7.25,7.5,7.42,7.42,0.12,Yes
809,Brazil,Other,7.42,7.33,7.5,7.33,7.5,0.12,Yes
810,Brazil,Catuai,7.42,7.25,7.5,7.5,7.42,0.11,Yes
812,Brazil,Other,7.58,7.17,7.5,7.5,7.42,0.12,Yes
813,Guatemala,Bourbon,7.75,7.33,7.42,7.75,7.67,0.0,Yes
814,Colombia,Caturra,7.33,7.08,7.42,7.5,7.67,0.07,Yes
815,Guatemala,Bourbon,7.58,7.25,7.58,7.58,7.5,0.1,Yes
816,Guatemala,Bourbon,7.5,7.25,7.42,7.42,7.42,0.11,Yes
817,Honduras,Caturra,7.58,7.25,7.33,7.42,7.5,0.12,Yes
818,Brazil,Catuai,7.42,7.33,7.5,7.5,7.33,0.11,Yes
819,Other,Bourbon,7.67,7.33,7.5,7.5,7.67,0.11,Yes
820,Guatemala,Catuai,7.58,7.17,7.83,7.17,7.33,0.11,Yes
821,"Tanzania, United Republic Of",Other,7.33,7.33,7.42,7.5,7.58,0.12,Yes
823,Other,Other,7.67,7.42,7.33,7.75,7.42,0.0,Yes
825,Taiwan,Typica,7.5,7.42,7.25,7.5,7.5,0.11,Yes
826,Mexico,Bourbon,7.58,7.25,7.58,7.5,7.25,0.12,Yes
827,Mexico,Typica,7.5,7.25,7.25,7.5,7.5,0.13,Yes
828,Mexico,Other,7.5,7.25,7.5,7.33,7.33,0.14,Yes
829,Mexico,Other,7.33,7.17,7.58,7.42,7.33,0.12,Yes
830,Mexico,Bourbon,7.67,7.33,7.83,7.5,7.5,0.12,Yes
831,Brazil,Other,7.42,7.25,7.5,7.33,7.5,0.12,Yes
833,Guatemala,Bourbon,7.42,7.25,7.5,7.33,7.42,0.1,Yes
834,Costa Rica,Catuai,7.25,7.5,7.33,7.67,7.42,0.0,Yes
835,Brazil,Other,7.42,7.42,7.5,7.42,7.25,0.11,Yes
836,Other,Other,7.75,7.58,7.75,7.92,7.83,0.11,Yes
837,Guatemala,Bourbon,7.58,7.33,7.42,7.58,7.25,0.1,Yes
838,Brazil,Yellow Bourbon,7.17,6.83,7.5,7.75,7.25,0.0,Yes
839,Brazil,Yellow Bourbon,7.58,6.92,6.92,7.67,7.5,0.0,Yes
840,Other,Catuai,7.33,7.5,7.42,7.33,7.33,0.0,Yes
841,Mexico,Catuai,7.58,7.33,7.5,7.17,7.33,0.11,Yes
842,Honduras,Catuai,7.5,7.33,7.5,7.42,7.25,0.12,Yes
843,Costa Rica,Caturra,7.67,7.5,7.25,7.08,7.42,0.09,Yes
844,Taiwan,Typica,7.67,7.17,7.25,7.75,7.33,0.0,Yes
845,Other,Typica,7.42,7.42,7.33,7.42,7.42,0.11,Yes
846,Other,Other,7.58,7.33,7.33,7.33,7.42,0.13,Yes
847,Brazil,Bourbon,7.33,7.25,7.17,7.83,7.33,0.11,Yes
848,Honduras,Caturra,7.5,7.33,7.33,7.33,7.33,0.1,Yes
849,Mexico,Typica,7.42,7.25,7.5,7.33,7.42,0.11,Yes
850,Colombia,Caturra,7.5,7.0,7.42,7.5,7.58,0.0,Yes
852,Brazil,Bourbon,7.75,7.5,7.42,7.83,7.75,0.12,Yes
853,Guatemala,Bourbon,7.83,7.33,7.33,7.67,7.83,0.11,Yes
854,Mexico,Bourbon,7.83,7.25,7.58,7.25,7.33,0.12,Yes
855,Mexico,Typica,7.33,7.25,7.5,7.5,7.5,0.12,Yes
856,Brazil,Other,7.33,7.25,7.5,7.5,7.25,0.02,Yes
859,Guatemala,Bourbon,7.5,7.25,7.42,7.42,7.33,0.11,Yes
860,Other,Caturra,7.0,7.33,7.5,7.5,7.33,0.12,Yes
861,"Tanzania, United Republic Of",Other,7.42,7.42,7.42,7.33,7.33,0.12,Yes
863,Mexico,Bourbon,7.5,7.33,7.42,7.25,7.25,0.13,Yes
864,Mexico,Other,7.42,7.17,7.67,7.33,7.42,0.13,Yes
865,Mexico,Typica,7.42,7.33,7.58,7.33,7.33,0.11,Yes
866,Mexico,Caturra,7.33,7.33,7.67,7.42,7.25,0.12,Yes
867,Mexico,Typica,7.5,7.25,7.33,7.67,7.25,0.12,Yes
868,Colombia,Caturra,7.33,7.33,7.33,7.5,7.67,0.0,Yes
870,Brazil,Bourbon,7.42,7.25,7.5,7.5,7.25,0.11,Yes
871,Guatemala,Bourbon,7.42,7.08,7.42,7.33,7.42,0.1,Yes
872,Guatemala,Bourbon,7.42,7.17,7.67,7.33,7.42,0.12,Yes
873,Honduras,Catuai,7.58,7.33,7.33,7.42,7.25,0.11,Yes
877,Brazil,Yellow Bourbon,7.25,6.92,7.42,7.5,7.58,0.0,Yes
878,"Tanzania, United Republic Of",Other,7.42,7.25,7.42,7.5,7.42,0.12,Yes
879,"Tanzania, United Republic Of",Other,7.33,7.5,7.25,7.42,7.33,0.12,Yes
880,Brazil,Bourbon,7.25,7.25,7.5,7.5,7.42,0.1,Yes
882,Honduras,Caturra,7.5,7.5,7.5,7.17,7.17,0.1,Yes
883,Costa Rica,Caturra,7.5,7.17,7.17,7.5,7.08,0.11,Yes
885,Taiwan,Typica,7.5,7.5,7.25,7.42,7.25,0.11,Yes
886,Taiwan,Typica,7.58,7.33,7.42,7.33,7.33,0.11,Yes
887,Mexico,Typica,7.5,7.08,7.58,7.33,7.33,0.12,Yes
888,Guatemala,Bourbon,7.5,7.33,7.33,7.33,7.33,0.11,Yes
889,Mexico,Typica,7.25,7.58,7.67,7.67,7.58,0.13,Yes
890,Mexico,Bourbon,7.67,7.17,7.75,7.5,7.25,0.11,Yes
891,Mexico,Bourbon,7.5,7.33,7.42,7.42,7.42,0.11,Yes
892,Mexico,Bourbon,7.58,7.25,7.58,7.25,7.17,0.11,Yes
893,Mexico,Caturra,7.75,7.25,7.17,7.58,7.33,0.11,Yes
895,Honduras,Other,7.5,7.08,7.42,7.5,7.33,0.11,Yes
896,Guatemala,Bourbon,7.42,7.08,7.5,7.42,7.33,0.12,Yes
897,Taiwan,Typica,7.42,7.25,7.67,7.33,7.25,0.1,Yes
898,Costa Rica,Caturra,7.58,7.5,7.17,7.08,7.58,0.12,Yes
899,"Tanzania, United Republic Of",Other,7.42,7.33,7.42,7.42,7.33,0.12,Yes
900,Other,Other,7.42,7.17,7.58,7.33,7.33,0.13,Yes
901,Taiwan,Typica,7.33,7.08,7.08,8.33,8.25,0.0,Yes
902,Brazil,Yellow Bourbon,7.42,7.33,7.33,7.5,7.25,0.12,Yes
903,Guatemala,Bourbon,7.42,7.17,7.58,7.42,7.5,0.12,Yes
904,Mexico,Typica,7.67,7.42,7.5,6.75,7.42,0.12,Yes
905,Mexico,Other,7.33,7.25,7.5,7.5,7.17,0.11,Yes
906,Mexico,Typica,7.67,7.42,7.58,7.58,7.42,0.11,Yes
910,Guatemala,Bourbon,7.67,7.17,7.42,7.33,7.42,0.1,Yes
911,Other,Caturra,7.5,7.33,7.33,7.25,7.33,0.11,Yes
912,Honduras,Caturra,7.5,7.33,7.42,7.17,7.25,0.1,Yes
914,Taiwan,Typica,7.5,7.33,7.08,7.58,7.25,0.12,Yes
915,Other,Catuai,7.25,7.25,7.5,7.33,7.33,0.0,Yes
916,Costa Rica,Caturra,7.83,7.08,7.08,7.33,7.5,0.12,Yes
917,Other,Other,7.67,6.92,7.5,7.5,7.17,0.12,Yes
918,Guatemala,Other,7.5,7.17,7.58,7.25,7.42,0.12,Yes
919,Taiwan,Typica,7.42,7.67,7.33,7.42,7.5,0.11,Yes
920,Brazil,Yellow Bourbon,7.58,7.5,7.67,7.67,7.83,0.0,Yes
921,Other,Other,7.42,7.25,7.42,7.42,7.33,0.11,Yes
922,Taiwan,Typica,7.5,7.25,7.25,7.33,7.33,0.11,Yes
923,Mexico,Typica,7.33,7.17,7.42,7.5,7.5,0.13,Yes
924,Mexico,Typica,7.58,7.25,7.42,7.33,7.33,0.12,Yes
925,Mexico,Catuai,7.42,7.17,7.42,7.17,8.0,0.12,Yes
926,Mexico,Typica,7.33,7.33,7.33,7.33,7.42,0.11,Yes
927,Mexico,Bourbon,7.42,7.33,7.17,7.25,7.42,0.13,Yes
928,Mexico,Typica,7.5,7.25,7.5,7.42,7.58,0.11,Yes
929,Other,Other,7.75,7.17,7.33,7.58,7.33,0.12,Yes
930,Brazil,Bourbon,7.5,7.17,7.42,7.5,7.33,0.12,Yes
934,Mexico,Other,7.58,7.08,7.33,7.5,7.33,0.12,Yes
935,Guatemala,Catuai,7.42,7.08,7.58,7.33,7.25,0.1,Yes
936,Brazil,Catuai,7.33,7.5,7.33,6.83,7.42,0.11,Yes
937,Honduras,Catuai,7.5,7.17,7.25,7.5,7.42,0.12,Yes
938,Taiwan,Typica,7.83,7.42,7.17,7.08,7.08,0.12,Yes
939,Other,Other,7.58,7.33,7.42,7.08,7.42,0.12,Yes
940,Brazil,Bourbon,7.25,7.42,7.17,7.33,7.33,0.0,Yes
941,Guatemala,Bourbon,7.42,7.17,7.42,7.42,7.42,0.1,Yes
942,Mexico,Typica,7.67,7.25,7.17,7.25,7.42,0.0,Yes
944,Guatemala,Bourbon,7.42,7.25,7.42,7.42,7.5,0.12,Yes
945,Mexico,Caturra,7.42,7.25,7.17,7.25,7.42,0.13,Yes
